stl,mtl,mtl2
0.748125,0.5203125,0.81125
0.8021875,0.5178125,0.8003125
0.698125,0.5178125,0.82875
0.794375,0.525625,0.8115625
0.701875,0.521875,0.8396875
0.755625,0.55875,0.8284375
0.779375,0.5328125,0.8284375
0.7953125,0.5246875,0.7603125
0.7334375,0.5178125,0.8125
0.81,0.52125,0.8353125
