22,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.939,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.948
0.95,0.95,0.95,0.947,0.95,0.95,0.95,0.95,0.95,0.95,0.947,0.95,0.95,0.95,0.95,0.95,0.949,0.95,0.95,0.95,0.95,0.948,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.944,0.951,0.95,0.95,0.95,0.95,0.95,0.95,0.947,0.95,0.95,0.951,0.95,0.95,0.949,0.949,0.95,0.95,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.942,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.948,0.95,0.948,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.945,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.949,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.948,0.95,0.95,0.95,0.95,0.949,0.95,0.95,0.95,0.95,0.95,0.95,0.948,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.949,0.95
0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.949,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.949,0.95,0.95,0.95,0.95,0.949,0.95,0.95,0.95,0.95,0.95,0.95,0.949,0.95,0.949,0.95
0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.945,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.951,0.95,0.95,0.95,0.95,0.95,0.95,0.947,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.948,0.95,0.95,0.951,0.949,0.95,0.95,0.95
0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.949
0.95,0.95,0.95,0.95,0.95,0.95,0.948,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.944,0.95,0.949,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.948,0.95,0.95,0.95,0.95,0.948,0.95,0.95,0.95,0.95,0.95,0.95
