24,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0.809,0.816,0.702,0.794,0.81,0.79,0.837,0.794,0.786,0.813,0.724,0.824,0.699,0.794,0.75,0.724,0.8,0.827,0.705,0.789,0.84,0.803,0.695,0.836,0.833,0.822,0.77,0.845,0.838,0.847,0.828,0.854,0.816,0.823,0.69,0.792,0.846,0.814,0.801,0.767
0.764,0.831,0.787,0.787,0.831,0.755,0.825,0.8,0.787,0.786,0.836,0.74,0.81,0.828,0.77,0.803,0.826,0.853,0.81,0.76,0.649,0.799,0.823,0.819,0.789,0.723,0.715,0.811,0.829,0.822,0.844,0.782,0.813,0.804,0.843,0.709,0.837,0.629,0.811,0.817
0.601,0.797,0.789,0.708,0.832,0.769,0.761,0.825,0.686,0.81,0.712,0.769,0.84,0.807,0.831,0.821,0.758,0.834,0.813,0.819,0.836,0.83,0.815,0.828,0.827,0.83,0.794,0.834,0.835,0.643,0.84,0.769,0.804,0.809,0.73,0.814,0.822,0.802,0.815,0.782
0.813,0.814,0.81,0.822,0.725,0.804,0.831,0.83,0.792,0.749,0.815,0.795,0.746,0.686,0.847,0.818,0.796,0.774,0.848,0.786,0.855,0.778,0.841,0.814,0.819,0.842,0.782,0.806,0.782,0.777,0.828,0.825,0.843,0.819,0.766,0.831,0.807,0.802,0.773,0.785
0.774,0.842,0.834,0.805,0.814,0.764,0.844,0.769,0.705,0.726,0.81,0.801,0.796,0.675,0.796,0.786,0.804,0.869,0.808,0.814,0.814,0.804,0.773,0.813,0.806,0.819,0.546,0.761,0.803,0.817,0.837,0.795,0.787,0.804,0.77,0.832,0.821,0.745,0.707,0.813
0.49,0.724,0.782,0.816,0.8,0.84,0.775,0.807,0.804,0.806,0.824,0.826,0.732,0.813,0.812,0.724,0.798,0.842,0.823,0.813,0.806,0.833,0.76,0.805,0.645,0.806,0.736,0.753,0.821,0.789,0.797,0.847,0.752,0.727,0.737,0.781,0.804,0.802,0.811,0.793
0.785,0.829,0.759,0.758,0.62,0.847,0.799,0.851,0.675,0.689,0.804,0.728,0.808,0.838,0.736,0.805,0.82,0.777,0.842,0.787,0.841,0.84,0.796,0.763,0.79,0.827,0.804,0.824,0.705,0.796,0.826,0.822,0.589,0.782,0.735,0.808,0.805,0.65,0.805,0.831
0.787,0.832,0.773,0.808,0.588,0.844,0.776,0.747,0.83,0.835,0.81,0.822,0.807,0.77,0.814,0.792,0.821,0.85,0.822,0.757,0.66,0.836,0.814,0.705,0.738,0.796,0.79,0.848,0.81,0.798,0.778,0.788,0.747,0.742,0.831,0.804,0.825,0.82,0.789,0.759
0.818,0.83,0.819,0.807,0.797,0.85,0.8,0.837,0.795,0.671,0.822,0.8,0.791,0.836,0.785,0.767,0.822,0.856,0.764,0.847,0.837,0.854,0.779,0.828,0.767,0.691,0.773,0.831,0.797,0.813,0.84,0.811,0.831,0.829,0.71,0.755,0.81,0.812,0.851,0.792
0.819,0.763,0.838,0.824,0.738,0.817,0.81,0.81,0.815,0.588,0.801,0.797,0.79,0.775,0.808,0.828,0.821,0.815,0.814,0.81,0.833,0.829,0.751,0.629,0.841,0.765,0.811,0.763,0.816,0.82,0.779,0.819,0.707,0.785,0.852,0.785,0.789,0.798,0.815,0.837
