11,0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0.752,0.755,0.756,0.752,0.752,0.752,0.752,0.752,0.749,0.746,0.762,0.753,0.752,0.752,0.752,0.754,0.752,0.752,0.76,0.752,0.734,0.752,0.752,0.752,0.753,0.752,0.755,0.752,0.752,0.752,0.752,0.752,0.738,0.747,0.741,0.752,0.759,0.754,0.752,0.758
0.752,0.752,0.731,0.739,0.752,0.752,0.735,0.755,0.763,0.752,0.752,0.75,0.753,0.752,0.752,0.752,0.752,0.752,0.751,0.751,0.712,0.752,0.752,0.752,0.749,0.752,0.752,0.753,0.74,0.752,0.752,0.756,0.752,0.752,0.751,0.757,0.748,0.752,0.752,0.757
0.752,0.753,0.752,0.753,0.752,0.752,0.75,0.748,0.752,0.771,0.733,0.752,0.752,0.752,0.752,0.752,0.768,0.75,0.752,0.752,0.752,0.749,0.752,0.755,0.753,0.752,0.752,0.752,0.752,0.752,0.752,0.74,0.755,0.752,0.752,0.752,0.752,0.752,0.752,0.75
0.752,0.755,0.753,0.752,0.742,0.752,0.747,0.752,0.729,0.752,0.756,0.752,0.76,0.746,0.772,0.752,0.752,0.752,0.753,0.752,0.749,0.753,0.752,0.761,0.752,0.752,0.752,0.752,0.752,0.753,0.752,0.752,0.756,0.752,0.749,0.752,0.751,0.751,0.752,0.761
0.752,0.752,0.757,0.756,0.752,0.752,0.757,0.752,0.749,0.753,0.753,0.752,0.752,0.752,0.751,0.757,0.752,0.747,0.728,0.74,0.743,0.752,0.752,0.752,0.754,0.756,0.765,0.752,0.752,0.762,0.752,0.751,0.752,0.753,0.752,0.74,0.752,0.75,0.754,0.752
0.752,0.768,0.751,0.759,0.755,0.752,0.757,0.737,0.743,0.75,0.764,0.756,0.75,0.752,0.752,0.752,0.752,0.755,0.747,0.745,0.729,0.752,0.738,0.756,0.752,0.751,0.752,0.752,0.752,0.753,0.757,0.731,0.752,0.752,0.759,0.752,0.756,0.74,0.752,0.752
0.752,0.752,0.752,0.746,0.751,0.754,0.753,0.752,0.752,0.752,0.752,0.754,0.752,0.752,0.752,0.752,0.752,0.757,0.756,0.755,0.752,0.752,0.752,0.752,0.752,0.739,0.756,0.74,0.77,0.752,0.751,0.751,0.752,0.72,0.752,0.752,0.743,0.752,0.751,0.751
0.752,0.752,0.721,0.745,0.752,0.752,0.758,0.753,0.726,0.781,0.752,0.752,0.751,0.752,0.754,0.752,0.752,0.751,0.749,0.743,0.757,0.762,0.752,0.752,0.752,0.753,0.752,0.758,0.752,0.75,0.752,0.754,0.754,0.743,0.75,0.752,0.755,0.752,0.753,0.759
0.752,0.759,0.744,0.752,0.75,0.752,0.721,0.752,0.752,0.753,0.72,0.751,0.752,0.751,0.752,0.751,0.755,0.752,0.753,0.752,0.754,0.752,0.753,0.752,0.752,0.752,0.752,0.751,0.752,0.752,0.753,0.752,0.752,0.761,0.733,0.751,0.623,0.752,0.769,0.752
0.752,0.761,0.752,0.747,0.753,0.752,0.759,0.747,0.752,0.762,0.751,0.743,0.752,0.752,0.752,0.752,0.751,0.752,0.747,0.751,0.743,0.753,0.752,0.752,0.752,0.752,0.752,0.748,0.763,0.752,0.752,0.742,0.752,0.75,0.748,0.752,0.731,0.752,0.75,0.752
