36,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,37,38,39
0.659,0.818,0.82,0.801,0.685,0.852,0.835,0.821,0.797,0.78,0.835,0.807,0.759,0.81,0.801,0.815,0.656,0.834,0.796,0.835,0.825,0.827,0.837,0.799,0.807,0.732,0.795,0.803,0.801,0.844,0.812,0.825,0.795,0.718,0.793,0.861,0.798,0.85,0.821,0.748
0.74,0.795,0.816,0.545,0.799,0.781,0.824,0.814,0.784,0.804,0.82,0.791,0.768,0.749,0.824,0.829,0.838,0.854,0.814,0.837,0.706,0.836,0.818,0.732,0.824,0.813,0.798,0.777,0.791,0.823,0.851,0.833,0.793,0.797,0.804,0.759,0.823,0.827,0.767,0.849
0.743,0.853,0.792,0.79,0.798,0.814,0.849,0.849,0.834,0.792,0.788,0.811,0.805,0.726,0.78,0.833,0.819,0.795,0.801,0.805,0.774,0.809,0.545,0.843,0.866,0.834,0.856,0.805,0.76,0.807,0.723,0.805,0.817,0.789,0.823,0.867,0.838,0.799,0.834,0.728
0.741,0.804,0.733,0.545,0.799,0.782,0.774,0.743,0.789,0.614,0.817,0.835,0.796,0.8,0.826,0.755,0.83,0.812,0.795,0.838,0.828,0.774,0.822,0.806,0.844,0.83,0.794,0.741,0.826,0.828,0.83,0.682,0.783,0.762,0.783,0.842,0.825,0.797,0.825,0.77
0.545,0.805,0.796,0.768,0.819,0.809,0.832,0.834,0.749,0.746,0.797,0.671,0.65,0.819,0.832,0.856,0.82,0.823,0.821,0.828,0.822,0.841,0.778,0.861,0.848,0.828,0.801,0.787,0.801,0.84,0.828,0.83,0.826,0.821,0.835,0.801,0.789,0.799,0.737,0.769
0.722,0.851,0.827,0.775,0.795,0.799,0.784,0.786,0.767,0.759,0.802,0.743,0.782,0.765,0.801,0.718,0.861,0.837,0.833,0.796,0.805,0.849,0.819,0.834,0.833,0.815,0.807,0.762,0.785,0.774,0.853,0.809,0.803,0.809,0.797,0.752,0.863,0.78,0.808,0.808
0.756,0.774,0.837,0.823,0.833,0.835,0.833,0.816,0.811,0.784,0.8,0.801,0.817,0.821,0.84,0.569,0.845,0.797,0.809,0.826,0.688,0.819,0.824,0.802,0.785,0.848,0.821,0.787,0.807,0.846,0.823,0.779,0.77,0.759,0.787,0.846,0.768,0.706,0.545,0.787
0.545,0.803,0.743,0.779,0.67,0.776,0.816,0.776,0.745,0.808,0.805,0.801,0.816,0.766,0.717,0.701,0.855,0.821,0.815,0.83,0.829,0.864,0.761,0.823,0.791,0.85,0.742,0.785,0.778,0.811,0.746,0.833,0.822,0.776,0.824,0.794,0.799,0.794,0.842,0.84
0.719,0.798,0.857,0.797,0.805,0.804,0.799,0.839,0.813,0.789,0.802,0.739,0.777,0.823,0.824,0.784,0.667,0.807,0.766,0.823,0.84,0.848,0.773,0.801,0.807,0.828,0.736,0.77,0.734,0.758,0.692,0.828,0.545,0.845,0.809,0.847,0.789,0.778,0.847,0.737
0.56,0.822,0.702,0.861,0.769,0.764,0.818,0.845,0.765,0.791,0.738,0.822,0.715,0.843,0.842,0.832,0.841,0.765,0.795,0.818,0.826,0.806,0.805,0.793,0.78,0.831,0.782,0.796,0.796,0.83,0.818,0.771,0.836,0.776,0.783,0.804,0.797,0.81,0.755,0.811
